obs,Kidid,bwtkg,Sex,BDAT,Treatment,Date,DIAenroll,DisDay,DIADis,TRT,TRT2,Deadvsdis,Died2wyn,pen,week,Breed,Mentation,bodyposture,resp,bellyfill,fecal,rectal_temp,temp,Total_HS,ExYN10,Exreason,Dead_YN10,Dead_3wYN10,dieage,DFDDie,dieddat,diereason,trt0yn10,Trt0Event,Trt0diar,Trt0pneu,Trt0Age,Trt0dat,Trt0rem,trt1yn10,Trt1Event,Trt1diar,Trt1pneu,Trt1Age,DFDT1,trt1yn10threewk,DFDT1threewk,Trt1dat,Trt1rem,Trt2Event,Trt2Age,Trt2dat,Trt2rem,Trt3Event,Trt3Age,Trt3dat,Trt3rem,Ttr4Even,Trt4Age,Trt4dat,Trt4rem,weight,6wkwt,6wkdat,time,adg
351,502931,3.3,D,6/18/2021,Trt,6/22/2021,4,6/23/2021,5,TRT7,SEV,,,B2,0,S,0,0,1,1,0,1,103.7,3,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,6,1,1,1,6/24/2021,ZUPREVO,BBDIAR,11,6/29/2021,SULFA,BBPNEU,21,7/9/2021,NUFL BAN,,,,,3,8,8/3/2021,42,0.119047619
279,502850,3.3,D,6/13/2021,Con,6/22/2021,9,6/23/2021,10,CON14,FOUR,,,B1,0,A,0,0,1,0,0,0,102.9,1,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,11,1,1,1,6/24/2021,ZUPREVO,BBDIAR,20,7/3/2021,SULFA,BBPNEU,27,7/10/2021,NUFL BAN,,,,,4,10.6,8/3/2021,42,0.157142857
549,503146,3.4,D,7/2/2021,Con,7/6/2021,4,7/7/2021,5,CON7,SEV,,,B7,0,S,0,0,1,0,0,0,103.5,1,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,6,1,1,1,7/8/2021,ZUPREVO,BBDIAR,11,7/13/2021,SULFA,,,,,,,,,3.8,11,8/17/2021,42,0.171428571
544,503138,3.4,D,7/1/2021,Con,7/6/2021,5,7/7/2021,6,CON7,SEV,,,B7,0,N,0,0,0,0,0,1,104,1,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,7,1,1,1,7/8/2021,ZUPREVO,BBDIAR,15,7/16/2021,SULFA,,,,,,,,,3.6,8.8,8/17/2021,42,0.123809524
448,503024,3.4,D,6/21/2021,Con,6/29/2021,8,6/30/2021,9,CON14,FOUR,,,B5,0,S,0,0,0,0,0,0,103.1,0,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,10,1,1,1,7/1/2021,ZUPREVO,BBDIAR,14,7/5/2021,SULFA,BBPNEU,31,7/22/2021,NUFL BAN,,,,,3.8,9.4,8/10/2021,42,0.133333333
362,502906,3.5,D,6/16/2021,Con,6/29/2021,13,6/30/2021,14,CON14,FOUR,,,B3,0,S,0,0,0,0,1,1,103.7,2,0,,0,0,,50,,,0,,0,0,,,,1,BBDIAR,1,0,15,1,1,1,7/1/2021,SULFA,BBPNEU,23,7/9/2021,ZUPREVO,,,,,,,,,6.2,15,8/10/2021,42,0.20952381
432,503020,3.6,D,6/21/2021,Con,6/29/2021,8,6/30/2021,9,CON14,FOUR,,,B4,0,S,0,0,1,0,0,1,103.7,2,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,10,1,1,1,7/1/2021,ZUPREVO,BBDIAR,18,7/9/2021,SULFA,BBPNEU,35,7/26/2021,NUFL BAN,,,,,4.8,10,8/10/2021,42,0.123809524
489,503069,3.6,D,6/24/2021,Trt,7/6/2021,12,7/7/2021,13,TRT14,FOUR,,,B6,0,S,0,0,1,0,0,1,104.5,2,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU/BBDIAR,1,1,14,1,1,1,7/8/2021,ZUPREVO/SULFA,,,,,,,,,,,,,4.6,11.2,8/17/2021,42,0.157142857
348,502927,3.6,D,6/18/2021,Trt,6/22/2021,4,6/23/2021,5,TRT7,SEV,,,B2,0,S,0,0,0,0,1,1,104.8,2,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,6,1,1,1,6/24/2021,ZUPREVO,BBDIAR,13,7/1/2021,SULFA,BBPNEU,18,7/6/2021,NUFL BAN,,,,,3.4,8.2,8/3/2021,42,0.114285714
106,502672,3.6,D,5/29/2021,Con,6/8/2021,10,6/9/2021,11,CON14,FOUR,,,A3,0,N,0,0,0,0,0,0,103,0,0,,0,0,,50,,,0,,0,0,,,,1,BBPNEU,0,1,12,1,1,1,6/10/2021,ZUPREVO,BBPNEU,33,7/1/2021,NUFL BAN,,,,,,,,,4.6,9.2,7/21/2021,43,0.106976744
